Question ID,AttackSeq ID,Batch ID,Question,Key Points,Context,Ground Truth,Source
915,22,22-Execution-T1059-Command and Scripting Interpreter,"After exploiting a vulnerability in PHPUnit systems (CVE-2017-9841) to gain initial access by injecting arbitrary PHP code on the server, is the Tuyul botnet likely to execute commands using Perl scripts before maintaining persistence by periodically downloading a bash script named 'cron' to ensure its continued presence?","Execution: The Tuyul botnet, written in Perl, is used to execute commands on victim systems. The malware source code includes functionalities such as promoting bots to higher privilege (pro), demoting bots (noob), updating malware, connecting to reverse shells (bc), executing shell commands (shell), running Perl scripts (perl), and terminating the bot's connection (terminate, suicide).","Initial Access: On January 15, 2020, F5 threat researchers detected a new campaign exploiting a vulnerability in PHPUnit systems (CVE-2017-9841) to install an IRC bot named Tuyul. The malware specifically targets unpatched PHPUnit, a PHP unit testing framework, allowing the attacker to inject arbitrary PHP code on the server.
Persistence: To maintain persistence, the Tuyul malware periodically downloads a bash script named 'cron' to ensure its continued presence on the system. It also includes functionality to detect and terminate processes from other malware infections.
Defense Evasion: The Tuyul malware employs a binary version that goes undetected by antivirus engines, allowing it to operate on the machine without signature-based detection. Additionally, the malware uses various PHP web shells to gain access to servers, including an open-source application called Tiny File Manager and an unknown advanced web shell.
Command and Control: The Tuyul botnet uses the domain irc[.]localroot[.]xyz as its command and control (C&C) server, which hosts the malware files and has a valid SSL certificate. The attacker also maintains two development servers for script development and testing, and for logging successful infections. The C&C server and development servers are protected by Cloudflare.
Others: The Tuyul botnet has possible Indonesian attribution based on several clues, including the time zone set to Asia/Jakarta, the botnet name, admin nicknames, and repository server. The botnet's peak size was 366 victim systems, which is smaller compared to other botnets. The infected servers are primarily hosted on cloud services such as AWS, DigitalOcean, and Linode, with a significant number located in the U.S. and U.K. The botnet's name, Tuyul, refers to a figure in Southeast Asian folklore, particularly Indonesian, which is an undead infant invoked for theft and other crimes. The botnet is actively being worked on and is expected to grow.",Yes,New Perl Botnet (Tuyul) Found with Possible Indonesian Attribution
1230,255,255-Execution-T1059-Command and Scripting Interpreter,"After exploiting the Office vulnerability CVE-2017-11882 to gain initial access via remote templates in Microsoft Word, is it likely that the Inception attackers will deploy the PowerShell backdoor POWERSHOWER before establishing persistence by writing itself to %AppData%\Microsoft\Word\log.ps1 and using a run key in the registry?","Execution: The Inception attackers deploy a PowerShell backdoor named POWERSHOWER, which cleans up forensic evidence after itself. It is used to fingerprint the machine, upload information to the C&C, and potentially run a secondary payload.","Reconnaissance: The Inception attackers have been active since at least 2014, targeting a variety of industries, primarily in Russia, but also globally. They use a two-stage spear phishing process, initially sending a reconnaissance spear phish to gather information, followed by a second spear phish containing a remote template to deliver a payload.
Initial Access: The Inception attackers exploit a year-old Office vulnerability, CVE-2017-11882, to gain initial access to European targets. They use remote templates in Microsoft Word, which allows them to load an external template when the document is opened.
Persistence: POWERSHOWER sets up persistence by writing itself to %AppData%\Microsoft\Word\log.ps1 and using a run key in the registry.
Defense Evasion: The Inception attackers use anti-forensics techniques during the dropper process to prevent clues from being left on disk or in the registry. They also use a basic backdoor, POWERSHOWER, as a first stage to make it harder for researchers to analyze more sophisticated payloads.
Discovery: POWERSHOWER collects system information on the infected machine and sends it to the C2 server.
Command and Control: POWERSHOWER communicates with a C2 server, sending system information and receiving instructions. It enters a communications loop after a reboot, performing actions based on the status code of a GET request.
Others: Palo Alto Networks' Wildfire detects all current Inception remote template documents and the downloaded CVE-2017-11882 RTFs with malware verdicts. AutoFocus customers can track associated samples with the InceptionRemoteTemplate and PowerShower. Traps blocks all files associated with this campaign. Indicators of Compromise include various remote template documents, PowerShower samples, and IP addresses associated with Inception Remote Template documents.",Yes,Inception Attackers Target Europe with Year-old Office Vulnerability
893,215,215-Defense Evasion-T1027-Obfuscated Files or Information,"After Palo Alto Networks managed to take control of most C&C domains and published a report on Infy, is it likely that the attackers moved their C&C domains to new IP addresses and released a new version of the malware before the new version began checking for the presence of antivirus products such as those from Kaspersky, Trend Micro, and Avast?","Defense Evasion: Following the disclosure, the attackers moved their C&C domains to new IP addresses and released a new version of the malware, which no longer records videos but continues to steal files. The new version also checks for the presence of antivirus products from Kaspersky, Trend Micro, and Avast. Despite the encoding technique and key used by the attackers remaining unchanged, experts believe the threat group was unaware of the security firm's report.","Command and Control: The security firm Palo Alto Networks initially managed to take control of all but one of the C&C domains used by the attackers, preventing the group from stealing information from most victims. After publishing its report on Infy, Palo Alto Networks worked with entities hosting the threat actor's C&C infrastructure to take control of their domains. However, the attackers attempted to revive the campaign using the remaining C&C domains they controlled. Eventually, all domains were sinkholed, completely shutting down the campaign.
Others: Researchers at Palo Alto Networks disrupted an Iran-linked cyberespionage campaign targeting global governments and businesses. The malware, 'Infy,' had been used in espionage since at least 2007 and remained undetected due to highly targeted attacks. Over 450 malware agents were found on 326 systems across 35 countries, with many victims being Iranian citizens. More than 40 variants of Infy exist, with two major versions: the original Infy and the more sophisticated Infy M, the latter mainly targeting high-value individuals. Despite the disruption, researchers anticipate the threat actor's return.",Yes,ref_researchers-disrupt-iranian-cyberespionage-campaign
2019,352,352-Collection-T1123-Audio Capture,"After collecting device information and GPS location via the Welcome Chat app, is it likely that the app will send recorded phone calls to its C&C server for exfiltration purposes before establishing a routine of contacting the C&C server every five minutes to upload additional data?","Collection: The Welcome Chat app has the capability to exfiltrate sent and received SMS messages, call log history, contact list, user photos, recorded phone calls, and the GPS location of the device.","Initial Access: We discovered a new operation within a long-running cyber-espionage campaign in the Middle East. The operation targets Android users via the malicious Welcome Chat app, which is linked to the malware named BadPatch and the Gaza Hackers threat actor group, also known as Molerats. The app is advertised on a dedicated website in Arabic, suggesting a focus on Arabic-speaking users. The domain for this website was registered in October 2019.
Persistence: The Welcome Chat app is designed to auto-start at device boot by listening for the BOOT_COMPLETED broadcast, ensuring that its functionality is activated every time the device starts.
Discovery: The Welcome Chat app collects information about the device, including device info and GPS location.
Command and Control: The Welcome Chat app sends information about the device to its command and control (C&C) server and is ready to receive commands. It contacts the C&C server every five minutes and uploads exfiltrated data using the HTTP protocol.
Others: The Welcome Chat app, which claims to be a secure messaging platform, is actually a functioning chat app with hidden espionage capabilities. It was never available on the official Android app store and requires permissions that are intrusive but may seem natural for a messaging app. The app's infrastructure was not built with security in mind, leaving harvested data from victims freely available on the internet via an unsecured server. The malicious code in the app appears to be copied from publicly available open-source projects and code snippets. The espionage app is believed to be developed by the attackers rather than being a trojanized version of a legitimate app. The campaign is linked to the threat actors behind the long-term BadPatch campaign. ESET researchers recommend not installing apps from outside the official Google Play store and to be cautious of app permissions.",Yes,Welcome Chat as a secure messaging app_ Nothing could be further from the truth _ WeLiveSecurity
1232,256,256-Initial Access-T1566-Phishing,"After using spear-phishing emails to deliver payloads through exploiting vulnerable Microsoft Office applications, is PKPLUG likely to achieve persistence by employing DLL side-loading before evading defenses by launching malicious payloads via legitimate signed applications?","Initial Access: PKPLUG, a cyber espionage group, has been using spear-phishing emails to deliver payloads to victims, which is a popular tactic for gaining initial access. Some email attachments contained exploits for vulnerable Microsoft Office applications, but this technique was less commonly used compared to social engineering to lure victims into opening attachments.","Persistence: DLL side-loading is almost ubiquitous as a method to install or run payloads for PKPLUG, indicating a persistence mechanism. Additionally, PowerShell and PowerSploit are also being considered for maintaining persistence.
Defense Evasion: PKPLUG employs DLL side-loading to launch malicious payloads via legitimate, signed applications, which is a method of defense evasion. This technique allows the group to avoid detection by security software.
Command and Control: PKPLUG's campaigns have been documented to use various Command and Control (C2) infrastructures, including domain names and IP addresses that are reused across different campaigns. This allows the group to communicate with and control compromised systems.
Others: PKPLUG has been active for at least six years, using a variety of malware families, including PlugX, Poison Ivy, Zupdax, 9002, HenBox, and Farseer. The group targets countries and regions in and around Southeast Asia, with potential motivations related to the ASEAN organization, China's Belt and Road Initiative, and disputes over the South China Sea. Unit 42 of Palo Alto Networks has been tracking PKPLUG for three years and believes with high confidence that it has origins linked to Chinese nation-state adversaries. The group's use of Android malware indicates an intent to target environments where traditional computing and communication methods differ.",Yes,PKPLUG_ Chinese Cyber Espionage Group Attacking Asia
1572,302,302-Persistence-T1037-Boot or Logon Initialization Scripts,"After leveraging PowerShell to run malware directly in memory as part of Turla's execution phase, is it likely that the group will evade detection by encrypting payloads, obfuscating scripts, and patching the AmsiScanBuffer function in memory before using a modified PowerShell profile to run a script for persistence?","Persistence: Turla operators have employed two methods for persistence: using a Windows Management Instrumentation (WMI) event subscription and altering the PowerShell profile (profile.ps1 file). In the case of WMI, attackers create event filters and consumers to execute base64-encoded PowerShell commands that load a large script stored in the Windows registry. The PowerShell profile is modified to run a script when PowerShell starts, which includes commands to load and execute the malware.","Execution: ESET researchers have analyzed new tactics, techniques, and procedures (TTPs) attributed to the Turla group, which involve leveraging PowerShell to run malware directly in memory, thus bypassing detection mechanisms that activate when a malicious executable is dropped on disk. The Turla group, also known as Snake, has been active since at least 2008 and is known for its sophisticated malware and espionage operations. The PowerShell scripts used by Turla persist on the system by regularly loading embedded executables into memory only, without writing them to disk.
Defense Evasion: Turla's PowerShell scripts are designed to evade detection by encrypting payloads and obfuscating scripts. They also include an AMSI bypass technique that patches the AmsiScanBuffer function in memory to prevent antimalware products from receiving and scanning the buffer. This technique was not newly discovered but reused from a presentation at Black Hat Asia 2018.
Discovery: Turla's RPC backdoor and PowerStallion backdoor are used to perform lateral movement and take control of machines within a local network. They implement basic features such as file upload, download, and command execution. The RPC backdoor also supports the addition of plugins, which can gather file and directory information and monitor USB drives. PowerStallion monitors antimalware logs and the Windows process list.
Collection: Turla's RPC backdoor plugins are capable of collecting recent files from the local file system and files from USB drives. PowerStallion, a lightweight PowerShell backdoor, uses Microsoft OneDrive as a command and control server and can execute additional PowerShell scripts, writing command results to another OneDrive subfolder.
Command and Control: The RPC backdoor uses the RPC protocol for command and control, while PowerStallion uses Microsoft OneDrive, accessed via SMB, as its command and control server.
Exfiltration: PowerStallion exfiltrates information through the command and control channel by writing command results to a OneDrive subfolder and encrypting them with XOR key 0xAA.",Yes,A dive into Turla PowerShell usage
825,208,208-Execution-T1203-Exploitation for Client Execution,"After Armageddon Group uses spearphishing emails targeting Ukrainian government entities to gain initial access, is it likely that they will utilize mshta.exe to launch a VBScript for executing subsequent attack stages before maintaining persistence by modifying the registry RUN key with a malicious PE file?","Execution: Armageddon Group employed Remote Template Injection techniques using RTF and DOCX files to download subsequent stages of their attacks. They embedded OLE objects in documents that requested remote template files containing malicious code. Additionally, they used a malicious LNK file within a TAR archive to initiate an attack stage using mshta.exe, which launched a VBScript.","Initial Access: Armageddon Group initiated attacks with spearphishing emails targeting Ukrainian government entities, containing topics related to internal affairs, foreign affairs, and the conflict with Russia. These emails included attachments such as RAR, DOCX, DOCM, LNK, and SFX files, which, when executed, launched various stages of the attack.
Persistence: To maintain persistence, Armageddon Group utilized various methods, including a malicious PE file that modified the registry RUN key.
Defense Evasion: In the second stage of the attack, Armageddon Group used a malicious VBScript and abused the Telegram service to obtain the real C2 IP address, bypassing DNS.
Command and Control: Armageddon Group used Telegram channels such as 'dracarc' to communicate and potentially control compromised systems.
Others: The report includes Indicators of Compromise (IOCs) with various hashes and URLs associated with the Armageddon Group's activities. These IOCs are crucial for identifying and mitigating the threats posed by the group's cyber warfare tactics.",Yes,Beyond_Bullets_and_Bombs_An_Examination_of_Armageddon_Groups_Cyber
1519,295,295-Collection-T1115-Clipboard Data,"After ensuring persistence by setting a registry key and hiding itself with attrib.exe, is it likely that ComboJack will enter an infinite loop to check clipboard contents for wallet information before replacing legitimate wallet addresses with a hardcoded wallet address and attempting to redirect funds to the attacker?","Collection: ComboJack enters an infinite loop, checking the clipboard contents every half second for wallet information of various digital currencies. If a wallet of interest is discovered, ComboJack replaces it with a hardcoded wallet address that the attacker presumably owns.","Initial Access: On February 25, 2018, Unit 42 and Proofpoint researchers observed a malspam campaign targeting Japanese and American users. The campaign used a lure PDF claiming to contain a scanned copy of a lost passport. The PDF contained an embedded RTF file which attacks CVE-2017-8579 by using an embedded remote object. The remote object is an HTA file located at a malicious URL, which contains encoded PowerShell commands to download and execute a file.
Execution: The PowerShell command decoded from the HTA file downloads and executes a file from a malicious URL. The execution flow leads to the installation of ComboJack malware on the victim's system.
Persistence: ComboJack copies itself to a location on the victim's system and uses attrib.exe to set hidden and system attributes to itself, executing with SYSTEM level privileges. It sets a registry key to ensure persistence.
Defense Evasion: ComboJack uses attrib.exe to set hidden and system attributes to itself, hiding the file from the user and allowing it to execute with SYSTEM level privileges.
Impact: ComboJack alters clipboard contents to replace legitimate cryptocurrency wallet addresses with the attacker's wallet addresses, attempting to redirect funds to the attacker.",Yes,New_ComboJack_Steal_Cryptocurrency
185,120,120-Discovery-T1614-System Location Discovery,"After Infamous Chisel collects files from application and data directories containing communication data, is it likely to enumerate data directories to discover files of interest and collect GPS information before automatically exfiltrating these files using Tor hidden service and SSH connections?","Discovery: Infamous Chisel's netd component enumerates multiple data directories to discover files of interest, collects GPS information, lists installed packages, and gathers various system information such as the Android ID and other hardware information. It also performs IP scanning of the local network to discover other devices.","Execution: Infamous Chisel is a collection of components targeting Android devices, associated with Sandworm activity. It includes a multi-call binary with utilities like dropbear, dropbearkey, ssh, scp, nmap, dbclient, watchdog, rmflag, mkflag, and is capable of executing shell scripts as the root user of the device. The malware replaces the legitimate netd and is executed by init, inheriting root privileges.
Persistence: Infamous Chisel persists on the system by replacing the legitimate netd system binary at the path /system/bin/netd. The malicious netd checks if init is the parent process and executes the legitimate process backed up at /system/bin/netd_, allowing the malicious netd to execute as root.
Privilege Escalation: Infamous Chisel replaces the legitimate netd and is executed by init, inheriting root privileges. It executes shell scripts as the root user of the device.
Defense Evasion: Infamous Chisel's blob decompresses executables from bzip archives. The malware checks that it is executed by init and at the path for the legitimate netd, impairing defenses by ensuring it is run as intended.
Credential Access: Infamous Chisel scrapes multiple files containing credentials and key information. It deploys tcpdump alongside the malware, which has the ability to sniff network interfaces and monitor network traffic.
Collection: Infamous Chisel's netd component automatically collects files from the local system based on a predefined list of file extensions. It also collects files from application and data directories containing communication data.
Command and Control: Infamous Chisel's db component provides SCP functionality, and td is deployed alongside the malware providing a Tor hidden service relaying connections to SSH program. The malware also provides a local Socks connection for db, and db provides a SSH server and client.
Exfiltration: Infamous Chisel's netd component automatically exfiltrates files at regular intervals using a Tor hidden service and SSH connections.
Impact: Infamous Chisel replaces the legitimate netd, potentially impacting the service.",Yes,NCSC-MAR-Infamous-Chisel
134,116,116-Execution-T1106-Native API,"After APT-TOCS gained initial access using ""powershell.exe"" to execute Shellcode scripts for remote control of targeted systems, is it likely that Shellcode script functionalities were executed in memory during the core step of the attack without being written to the hard disk, before the attackers employed multi-beacon communication for defense evasion?","Execution: The APT-TOCS attack's core step involved downloading Shellcode script functionalities, which were then executed in memory without writing to the hard disk. The attack pattern included communication via Beacon mode, sending network heartbeat packages every 60 seconds, and transmitting data information via the Cookie field.","Initial Access: The APT-TOCS attack utilized ""powershell.exe"" to execute Shellcode scripts for remote control of targeted systems. Attackers may have used security vulnerabilities to execute scripts directly on the host. A binary file named Sample A, identified as Trojan/Win32.MSShell with MD5 44BCF2DD262F12222ADEAB6F59B2975B, was used in similar attacks to lead the attack by executing embedded malware using WinExec to call ""powershell.exe"".
Defense Evasion: APT-TOCS exhibited features designed to evade detection by security software and firewall interception. The attack pattern included running in memory, no hard disk writing operations, and the use of multi-beacon communication, which could work simultaneously and evade sandbox detection.
Lateral Movement: APT-TOCS depended on network projection and could laterally move within the internal network as required to conduct an attack.
Command and Control: APT-TOCS used encrypted data scripts downloaded by PowerShell for command and control. The attack communicated with compromised systems using HTTP GET requests to specific URLs and transmitted heartbeat packages using Cookie fields with 60 seconds intervals.
Others: APT-TOCS is closely related to the Cobalt Strike automatic attack testing platform. The attack can penetrate firewalls and is undetectable, capable of attacking various platforms, and formidable against Trusted Computing, Cloud Detection, and Sandbox Detection. The threat has been active for 5 years without powerful detection methods to defeat it. The attack is considered an APT due to its targeted nature, anti-detection functions, and ability to conceal itself. The use of a commercial attack platform reduces the cost and complexity of launching such attacks, making it difficult to trace the attackers.",Yes,ANALYSIS-ON-APT-TO-BE-ATTACK-THAT-FOCUSING-ON-CHINAS-GOVERNMENT-AGENCY-
