Question ID,AttackSeq ID,Batch ID,Question,A,B,C,D,Key Points,Context,Ground Truth,Source,Unshuffled Choices
799,238,238-Defense Evasion,Which ATT&CK tactic most likely occurred after the attackers used spear phishing emails with malicious self-extracting RAR files to achieve initial access but before they established command-and-control with infrastructure hosted on DynDNS services?,Initial Access,Execution,Command and Control,Defense Evasion,"Defense Evasion: The attackers utilized digital signatures to make the malware appear legitimate, even though the certificates were untrusted and faked. This tactic was used to evade defenses and increase the likelihood of the malware being executed by the target.","Initial Access: We have observed multiple malware attacks against Israeli and Palestinian targets, likely performed by the same attacker. The attacks utilized spear phishing emails with malicious attachments, such as the one purporting to come from IDF Chief of Staff Benny Gantz. The malware files, often digitally signed to appear legitimate, were typically contained in self-extracting RAR files with misleading names that disguised their executable nature.
Execution: The malware identified in the attacks includes the XtremeRat backdoor trojan, which is commercially available and has been used in various attacks over the years. This malware was found in executable files disguised as documents, such as 'IDF strikes militants in Gaza Strip following rocket barrage.doc.scr', and was signed with a digital certificate that appeared to be from Microsoft, although it was actually untrusted and faked.
Command and Control: The malware communicated with command-and-control (C&C) structures hosted on various DynDNS services, with IP addresses resolving to hosting services in the US. The C&C infrastructure was shared among the malware samples, indicating a coordinated attack. The IP addresses used for C&C servers changed regularly, with some remaining static for longer periods.
Others: The attacks have been ongoing for at least a year, initially focusing on Palestinian targets before shifting to Israeli targets. The purpose of the attacks is assumed to be espionage/surveillance. The attacker remains unknown, but the use of off-the-shelf malware suggests a lower-cost operation. The attacks likely involved email attachments containing malicious files within archives like RAR or ZIP. Document metadata from bait attachments revealed usernames associated with the creation and modification of the documents, providing clues about the attackers.",Defense Evasion,Cyberattack_against_Israeli_and_Palestinian_targets,"Defense Evasion, Execution, Command and Control, Initial Access"
2091,87,87-Execution,Which ATT&CK tactic most likely occurred after the APT actors gained initial access through malicious emails exploiting CVE-2012-0158 and before the MSIL/Crimson downloader attempted to download the full RAT component?,Initial Access,Execution,Reconnaissance,Defense Evasion,"Execution: After successful exploitation and decoding of the embedded payload, a family of malware referred to as MSIL/Crimson is executed on the victim's machine. The first stage is a downloader whose purpose is to download the more fully featured RAT component. The MSIL/Crimson downloader attempts to download the full RAT from 213.136.87[.]122:10001.","Initial Access: On February 11, 2016, two malicious emails were sent minutes apart to officials at Indian embassies in Saudi Arabia and Kazakhstan from the same originating IP address (5.189.145[.]248) belonging to Contabo GmbH. Both emails carried the same attachment, a weaponized RTF document exploiting CVE-2012-0158 to drop an embedded, encoded portable executable (PE) named svchost.exe with downloader functionality.
Command and Control: The MSIL/Crimson malware utilizes a custom TCP protocol for communicating with its command and control (C&C) servers. Some of its modules, which lack C&C capability, rely on the RAT component for information exfiltration.
Others: Proofpoint researchers uncovered an advanced persistent threat (APT) against Indian diplomatic and military resources, which they have dubbed 'Operation Transparent Tribe.' The investigation began with malicious emails and uncovered connections to watering hole sites designed to drop a remote access Trojan (RAT) with data exfiltration functions. The campaigns and attacks appear related by common indicators of compromise (IOCs), vectors, payloads, and language. The exact nature and attribution of this APT remain under investigation. The MSIL/Crimson malware family is modular, with additional payloads downloaded by the main RAT module often utilized for functions such as keylogging and browser credential theft. Infections typically occur in stages, with the first stage being a downloader component. Crimson-infected victims may be spied on via invasive methods such as through their webcam, stealing email from Outlook, and recording their screen. Some variants support at least 40 individual commands. The technical analysis section provides a full description and analysis of the MSIL/Crimson malware family.",Execution,transparent-tribe-threat-insight-en2020,"Execution, Initial Access, Defense Evasion, Reconnaissance"
354,161,161-Defense Evasion,Which ATT&CK tactic most likely occurred after the CostaRicto Campaign utilized encrypted PowerShell loaders and scripts to execute their custom VM-based payload and before the attackers used tools like pscan and nmap for network service scanning?,Defense Evasion,Persistence,Discovery,Lateral Movement,Defense Evasion: The CostaRicto Campaign employed defense evasion techniques such as process injection using the Invoke-ReflectivePEInjection PowerSploit module and deobfuscation to decode files or information related to the SombRAT backdoor.,"Initial Access: The CostaRicto Campaign, identified by the BlackBerry Research and Intelligence Team, leveraged stolen credentials to gain initial access to victims' environments. The attackers utilized SSH tools to set up remote tunneling, redirecting traffic from malicious domains to a proxy listening on a local port. The tunnel authentication was performed using the attackers' private keys. Payload stagers, either HTTP or reverse-DNS, were executed using scheduled tasks to download the backdoor.
Execution: The CostaRicto Campaign executed malicious code through various methods. The 64-bit backdoor was deployed using scripts and encrypted files, with a PowerShell loader based on the Invoke-ReflectivePEInjection PowerSploit module to inject the final payload DLL into memory. The 32-bit backdoor utilized a custom VM-based payload loader, CostaBricks, which implemented a simple virtual machine mechanism to decode and inject the payload into memory.
Discovery: The SombRAT backdoor, part of the CostaRicto Campaign, had capabilities for process discovery, system information discovery, and system time discovery. Additionally, tools like pscan and nmap were used for network service scanning.
Collection: The CostaRicto Campaign's SombRAT backdoor archived collected data using a custom storage file format.
Command and Control: The CostaRicto Campaign's SombRAT backdoor communicated with C2 servers using protocol tunneling over DNS and HTTP. The traffic was SSL-encrypted and capable of bypassing HTTP/SOCKS5 proxies. The C2 domain name was hardcoded in the binary and obfuscated. RSA encryption was used to secure the AES key exchange for C2 traffic. Proxy tools like pcheck HTTP/S proxy, GO SOCKS5 proxy, and PuTTY were also used.
Exfiltration: The SombRAT backdoor exfiltrated data over the C2 channel.",Defense Evasion,The CostaRicto Campaign_ Cyber-Espionage Outsourced,"Defense Evasion, Discovery, Persistence, Lateral Movement"
192,131,131-Persistence,"After the adversaries gained initial access by abusing Cloud Shell for reverse SSH tunneling, which ATT&CK tactic most likely occurred before attackers used Sliver to maintain access to the network?",Privilege Escalation,Execution,Initial Access,Persistence,"Persistence: Adversaries using an open-source platform to maintain network persistence. After compromising a network, attackers are using Sliver to maintain access.","Initial Access: Adversaries using an open-source platform to maintain network persistence. After compromising a network, attackers are using Sliver to maintain access. Cloud Shell used for reverse SSH tunneling after initial compromise vector. Domain previously identified by TAG used in ongoing attacks against researchers. Threat actors abuse Cloud Shell to initiate reverse SSH tunnels from compromised environments to avoid detection. A North Korean sponsored actor appears to have re-used a domain identified by TAG in an intrusion campaign involving manipulated IDA Pro.
Others: Vulnerable instances of Apache Log4j still sought by attackers. Despite patching, attackers are continuing to scan public-facing sites for those that have not been properly patched. Google Cloud was proactive in assuring the security of the platform and we partnered extensively with customers to provide tooling and support to help them mitigate and remediate Log4j risks. This included threat intelligence-driven updates to Cloud Armor, Cloud IDS, Security Command Center, and Event/Container Threat Detection and we were pleased to see many customers proactively respond to this event and use these capabilities to defend themselves and their customers. Google Cloud customers also used a variety of scanners and fuzzers to help identify the presence of Log4j in Cloud instances and their dependencies.",Persistence,Google_Cybersecurity_Action_Team_Threat_Horizons_Report#2,"Persistence, Initial Access, Privilege Escalation, Execution"
1247,317,317-Defense Evasion,"After Mustang Panda executed the embedded HTA script within the '.lnk' files to drop Cobalt Strike Stagers and decoy documents, which ATT&CK tactic most likely occurred before they established command and control communication with C2 domains?",Defense Evasion,Execution,Initial Access,Exfiltration,"Defense Evasion: Mustang Panda utilized the double extension trick (sample.doc.lnk) to deceive users into opening malicious files. They also used PlugX and Cobalt Strike payloads, which align with previous findings of activity attributed to Mustang Panda by CrowdStrike.","Initial Access: The Anomali Threat Research Team identified an ongoing campaign by Mustang Panda using spearphishing with malicious '.lnk' files likely as the distribution method. These files contained embedded HTA scripts that, once executed, dropped and opened decoy documents while running malicious payloads in the background.
Execution: The '.lnk' files used by Mustang Panda typically contained an embedded HTA file with VBscript or PowerShell script that executed various operations including dropping Cobalt Strike Stagers and opening decoy documents. The PlugX malware was also delivered as a primary payload.
Command and Control: Mustang Panda's campaign involved command and control (C2) domains and IP addresses that were used to communicate with the compromised systems. The documents were attempting to, or were able to connect to various C2 domains and IP addresses.
Others: The Anomali Threat Research Team discovered an ongoing campaign by Mustang Panda targeting minority groups, public and private sector organizations. The campaign dates back to at least November 2018 and possibly as far back as October 2017. Targets include individuals interested in United Nations' Security Council Committee resolutions, Mongolian-based MIAT Airlines, non-profit China Center, and countries such as Germany, Mongolia, Myanmar, Pakistan, and Vietnam. The Communist Party of Vietnam (CVP) and the Shan Tai group were also targeted. The campaign's objectives align with China's strategic interests, including its 13th Five-Year Plan and the Belt and Road Initiative.",Defense Evasion,"China-Based APT Mustang Panda Targets Minority Groups, Public and Private Sector Organizations","Defense Evasion, Execution, Initial Access, Exfiltration"
412,174,174-Execution,Which ATT&CK tactic most likely occurred after threat actors exploited CVE-2019-0604 in SharePoint to gain initial access with webshells and before they evaded detection by using a .NET loader with a custom Mimikatz variant?,Execution,Initial Access,Resource Development,Command and Control,"Execution: The actors used the AntSword webshell to run a variety of commands on the compromised server for initial system and user discovery, as well as to ping systems of interest. They also uploaded tools to the server, including cURL, a custom Mimikatz variant, and compiled variants of Impacket's wmiexec and atexec tools.","Initial Access: On September 10, 2019, unknown threat actors exploited a vulnerability in SharePoint described in CVE-2019-0604 to install several webshells on the website of a Middle East government organization. One of these webshells is the open source AntSword webshell, similar to the China Chopper webshell.
Defense Evasion: The actors used a custom Mimikatz variant with a .NET loader to evade detection. Additionally, they uploaded the Dumpert tool, designed to evade antivirus and EDR solutions by using direct system calls and API unhooking.
Credential Access: The actors used Mimikatz to dump credentials from memory and Impacket tools to use the pass the hash technique to run commands on other systems.
Discovery: The actors ran various commands to do initial discovery on the system and network, including user accounts, files and folders, privileged groups, remote systems, and network configuration.
Lateral Movement: Using the collection of webshells, the actors moved laterally to other systems on the network by dumping credentials with a variant of the notorious Mimikatz tool and using Impacket's atexec tool to use dumped credentials to run commands on other systems.
Command and Control: The actors used the AntSword webshell to communicate with the compromised server and run commands. They also used the AntSword Shell Manager to interact with the webshell.
Others: Palo Alto Networks customers are protected from the threat described in this report through Threat Prevention signatures for the exploits and C2 traffic as well as through WildFire. The CVE-2019-0604 vulnerability is covered by IPS signature Microsoft SharePoint Remote Code Execution Vulnerability (55411). The Awen Webshell and AntSword ASPX Webshell are detected by IPS signatures. The Mimikatz, Impacket atexec, and Dumpert tools are all marked with malicious verdicts by WildFire.",Execution,Actors Still Exploiting SharePoint Vulnerability to Attack Middle East Government Organizations,"Execution, Initial Access, Command and Control, Resource Development"
1527,360,360-Execution,Which ATT&CK tactic most likely occurred after RIG EK redirects users through malvertising or compromised websites to execute exploits and before employing proxy servers and antivirus testing to avoid detection?,Privilege Escalation,Initial Access,Execution,Lateral Movement,"Execution: Upon successful execution on the victim machine, RIG EK runs an obfuscated PowerShell script to fetch malware from the C&C infrastructure, using Command and Scripting Interpreter and Exploitation for Client Execution techniques.","Resource Development: RIG EK uses known browser vulnerabilities to execute commands on victim machines, which are slightly modified versions of publicly available exploits, usually obfuscated. This behavior falls under Obtain Capabilities and Compromise Infrastructure techniques. RIG EK also uses malvertising and compromised websites to redirect users to its landing page.
Initial Access: RIG EK delivers exploits to victims through malvertising, redirecting users to advertising pages that execute RIG exploits, or by visiting compromised sites with injected exploit kit javascript. This process is non-disruptive and requires limited interaction, aligning with the Drive-by Compromise technique.
Defense Evasion: RIG EK uses proxy servers to make infections harder to detect and has an integrated Antivirus testing feature to check if the malware is detected by popular antivirus software.
Command and Control: RIG EK's infrastructure includes Virtual Dedicated Servers (VDS), proxy servers, and an API server. The API serves the exploit through the proxy server, which is a reverse proxy to the VDS. The exploit server detects the user's browser and returns the exploit code encrypted with a custom version of the RC4 algorithm.
Others: RIG EK has been active since 2014, distributing various types of malware, including Dridex, RaccoonStealer, and SmokeLoader. It targets machines running outdated versions of Internet Explorer. With new exploits added to its arsenal, RIG EK achieved a 30% exploitation rate in 2022. The exploit kit operates as a service model, distributing different types of malware for various threat actors. It has intercepted victim traffic from 207 countries, with the most successful campaigns in Russia, Mexico, Brazil, and the Middle East. The highest exploit try rates and successful infections occurred on Tuesdays, Wednesdays, and Thursdays. RIG EK's operators have a close relationship with the developer of Dridex malware.",Execution,[RIG] RIG Exploit Kit_ In-Depth Analysis,"Execution, Initial Access, Privilege Escalation, Lateral Movement"
1135,30,30-Execution,"After achieving initial access through a compromised supply chain attack targeting NoxPlayer’s update mechanism, which ATT&CK tactic most likely occurred before the malware employed defense evasion techniques such as manually loading a DLL using native Ntdll.dll functions?",Credential Access,Execution,Privilege Escalation,Defense Evasion,"Execution: The report describes the execution of a malicious MFC Dialog application, compiled with Visual Studio 2008, which uses overlay data to decrypt and load a DLL file into memory. This process initiates a series of fileless PE loads. The application's execution flow is altered to hide the dialog, avoid showing on the Windows Taskbar, and simulate user interaction.","Initial Access: The CTI report by VinCSS Blog details an initial access tactic through a supply chain attack targeting the software company BigNox. The attack exploited the update mechanism of NoxPlayer, an Android emulator used worldwide. The campaign, named Operation NightScout, potentially affected many users in Vietnam. The report focuses on a sample with SHA-1 hash E45A5D9B03CFBE7EB2E90181756FDF0DD690C00C, identified as UpdatePackageSilence.exe, which serves as the first stage in the infection chain. The sample exhibits similar coding, execution, and behavior to VVSup.exe, previously mentioned in VinCSS's blog posts.
Defense Evasion: The report indicates defense evasion techniques, such as manual loading of a DLL using native Ntdll.dll functions to avoid detection by AV/EDR solutions that hook kernel32.dll. The malware also uses a custom LZMA compression algorithm to unpack embedded data, making static analysis more challenging.
Command and Control: The malware extracts Command and Control (C&C) information from the parent executable and saves it to a file named C:\ProgramData\resmon.resmoncfg. The C&C data is extracted using a specific byte mask and saved in a file with a size of 1550 bytes.
Others: The report mentions the discovery of a new RAT named ElephantRAT (Kunming version) and its similarities with the Smanager RAT. The malware creates a directory with hidden and system attributes, unpacks additional files, and checks for write permissions to the System32 directory. It also uses rundll32.exe to load a DLL with the parameter 'ByPassUAC' and creates a batch file to delete the parent executable and itself. The report also notes a programming error in the ManualLoadDll function, where malloc is incorrectly used, leading to potential memory issues.",Execution,VinCSS Blog_ [RE020] ElephantRAT (Kunming version)_ our latest discovered RAT of Panda and the similarities with recently Smanager RAT,"Execution, Defense Evasion, Privilege Escalation, Credential Access"
1188,308,308-Defense Evasion,"Which ATT&CK tactic most likely occurred before SUNSPOT employed AES128-CBC encryption to protect targeted source code files and the backdoored source code file in the binary, and after it monitored running processes for MsBuild.exe to detect targeted build environments?",Defense Evasion,Collection,Execution,Privilege Escalation,"Defense Evasion: SUNSPOT employs several defense evasion techniques, including the use of AES128-CBC encryption to protect targeted source code files and the backdoored source code file in the binary. It also uses RC4 encryption with a hard-coded key to protect log file entries. The malware masquerades as a legitimate Windows binary and writes its logs in a fake VMWare log file. Additionally, SUNSPOT inserts the backdoor code within #pragma statements to disable and restore warnings, preventing the backdoor code lines from appearing in build logs.","Execution: CrowdStrike Intelligence Team reported on January 11, 2021, that SUNSPOT malware was used to insert the SUNBURST backdoor into SolarWinds Orion IT management product builds. SUNSPOT was designed to monitor processes involved in the compilation of the Orion product and replace a source file to include the SUNBURST backdoor code. The malware was identified on disk with the filename taskhostsvc.exe and internally named taskhostw.exe by its developers. It was likely built on February 20, 2020, and maintained persistence through a scheduled task set to execute at host boot.
Persistence: SUNSPOT malware maintains persistence through a scheduled task set to execute when the host boots. This task is triggered at boot time to ensure the malware's continued operation within the compromised system.
Privilege Escalation: SUNSPOT malware grants itself debugging privileges by modifying its security token to add SeDebugPrivilege, which is a prerequisite for the remainder of its execution, involving reading other processes' memory.
Discovery: SUNSPOT monitors running processes for instances of MsBuild.exe, which is part of Microsoft Visual Studio development tools, to detect the targeted Visual Studio solution build.
Impact: SUNSPOT modifies the Orion source code to inject the SUNBURST backdoor, which is an example of data manipulation stored-data manipulation under the Impact tactic.",Defense Evasion,SUNSPOT Malware A Technical Analysis,"Defense Evasion, Privilege Escalation, Execution, Collection"
1365,336,336-Defense Evasion,"After the execution of Scote malware on victim systems, which ATT&CK tactic most likely occurred before it communicated with its C2 server using Pastebin postings and Google+ accounts?",Persistence,Execution,Defense Evasion,Privilege Escalation,"Defense Evasion: Scote malware employs various techniques to evade detection, including the use of legitimate third-party online services to host its C2 information. The malware uses a series of techniques and tricks when loaded onto a victim machine, including layers of obfuscation.","Initial Access: In the TopHat campaign, attackers used Arabic language decoy documents related to current events within the Palestine Territories to entice victims. The attacks were deployed via malicious RTF files, self-extracting Windows executables, and RAR archives. The RTF files made HTTP requests to a bit.ly URL, which redirected to a malicious site. The self-extracting executables loaded a decoy document and spawned an instance of Scote malware.
Execution: The Scote malware family, once executed, provides backdoor access for an attacker. It collects command and control (C2) information from Pastebin links and Google+ profiles. The bit.ly links obscured the C2 URLs, preventing victims from evaluating the legitimacy of the final site.
Command and Control: Scote malware retrieves C2 information from Pastebin postings or Google+ accounts. It uses this information to communicate with C2 servers and can accept commands to kill the malware, run 'ipconfig', run 'cmd.exe /C systeminfo', and load a DLL from a C2.
Others: The TopHat campaign overlaps with the previously reported DustySky campaign. The attacker tested their malware against multiple security products and submitted files that appear to be new variants of the DustySky Core malware. The campaign leveraged political events to target individuals or organizations within the Palestine region. Palo Alto Networks customers are protected by this threat through tagging in AutoFocus, flagging of malicious domains, marking samples as malicious within WildFire, and blocking exploits used by the RTF files. Google, Pastebin, and bit.ly have been notified of the malicious content hosted on their services.",Defense Evasion,unit42-the-tophat-campaign-attacks-within-the-middle-east-region-using-popular-third-party-services,"Defense Evasion, Execution, Privilege Escalation, Persistence"
