Question ID,AttackSeq ID,Batch ID,Question,A,B,C,D,Key Points,Context,Ground Truth,Source,Unshuffled Choices
2367,391,391-Initial Access-T1566-Phishing,"After the FHAPPI campaign utilized a VBScript to execute a PowerShell attack through a phishing email, which ATT&CK technique most likely occurred before the execution phase where base64 encoded PowerShell code was run?",T1659-Content Injection,T1566-Phishing,T1059-Command and Scripting Interpreter,T1197-BITS Jobs,"Initial Access: The FHAPPI campaign involved an APT phishing email containing a link to malware hosted on a Geocities website. The email's contents are undisclosed due to the sensitive nature of an APT attack. The malware, hosted under the account 'vbiayay1', was a VBScript encoded script. This script, when executed, would download a .doc file and open it, leading to the execution of a PowerShell attack to infect the victim's system with Poison Ivy.","Execution: The VBScript created an object in the shell and executed a PowerShell command to run base64 encoded code. This code led to the download and execution of a .ps1 file from another URL. The .ps1 file contained more base64 encoded code, which, when decoded, revealed the infection code for both 32-bit and 64-bit systems. The malware masqueraded as a 'Security Update' process and used PowerShell to execute the base64 code.
Defense Evasion: The FHAPPI campaign utilized multiple encodings and wraps to avoid detection, including multilayered base64 encoding. The attack was fileless, avoiding known signatures, and did not originate from the attacker's territory, improving the chances of a successful APT campaign.
Command and Control: The malware communicated with a C2 server located at the IP address 61.97.243.15, a dial-up IP in South Korea. The domain used for C2 communication was 'web.outlooksysm.net', registered to an individual in China. The WHOIS information for the domain included contact details for 'Liu Ying'.
Others: The FHAPPI campaign was first recognized in Japan and named 'Free Hosting (pivoted) APT PowerSploit Poison Ivy' (FHAPPI). The campaign utilized Geocities Japan for hosting malware and targeted victims with a modified PowerSploit PoC code. The main payload was Poison Ivy, injected into the 'userinit.exe' process. The campaign also targeted Mongolian users with documents in Mongolian. The malware actions included extracting victim information, calling back to a C2 server, and other nefarious activities. The campaign was linked to a larger APT campaign and utilized email addresses 'wisers.data@gmail.com' and 'health.pro.demo30@gmail.com' for phishing. The CNC IP address and the email sender addresses are recommended to be blocked and traced. The malware files associated with the campaign have been deleted with the help of Yahoo Incident Response Division (YIRD), JP-CERT/CC, and other security professionals in Japan.",T1566-Phishing,english-report-of-fhappi-freehosting,"T1566-Phishing, T1659-Content Injection, T1059-Command and Scripting Interpreter, T1197-BITS Jobs"
581,174,174-Discovery-T1069-Permission Groups Discovery,"After threat actors evaded defenses using Dumpert with API unhooking and a .NET loader, which ATT&CK technique most likely occurred before they moved laterally to other systems using dumped credentials through Impacket's atexec tool?",T1550-Use Alternate Authentication Material,T1546.005-Trap,T1069-Permission Groups Discovery,T1120-Peripheral Device Discovery,"Discovery: The actors ran various commands to do initial discovery on the system and network, including user accounts, files and folders, privileged groups, remote systems, and network configuration.","Initial Access: On September 10, 2019, unknown threat actors exploited a vulnerability in SharePoint described in CVE-2019-0604 to install several webshells on the website of a Middle East government organization. One of these webshells is the open source AntSword webshell, similar to the China Chopper webshell.
Execution: The actors used the AntSword webshell to run a variety of commands on the compromised server for initial system and user discovery, as well as to ping systems of interest. They also uploaded tools to the server, including cURL, a custom Mimikatz variant, and compiled variants of Impacket's wmiexec and atexec tools.
Defense Evasion: The actors used a custom Mimikatz variant with a .NET loader to evade detection. Additionally, they uploaded the Dumpert tool, designed to evade antivirus and EDR solutions by using direct system calls and API unhooking.
Credential Access: The actors used Mimikatz to dump credentials from memory and Impacket tools to use the pass the hash technique to run commands on other systems.
Lateral Movement: Using the collection of webshells, the actors moved laterally to other systems on the network by dumping credentials with a variant of the notorious Mimikatz tool and using Impacket's atexec tool to use dumped credentials to run commands on other systems.
Command and Control: The actors used the AntSword webshell to communicate with the compromised server and run commands. They also used the AntSword Shell Manager to interact with the webshell.
Others: Palo Alto Networks customers are protected from the threat described in this report through Threat Prevention signatures for the exploits and C2 traffic as well as through WildFire. The CVE-2019-0604 vulnerability is covered by IPS signature Microsoft SharePoint Remote Code Execution Vulnerability (55411). The Awen Webshell and AntSword ASPX Webshell are detected by IPS signatures. The Mimikatz, Impacket atexec, and Dumpert tools are all marked with malicious verdicts by WildFire.",T1069-Permission Groups Discovery,Actors Still Exploiting SharePoint Vulnerability to Attack Middle East Government Organizations,"T1069-Permission Groups Discovery, T1120-Peripheral Device Discovery, T1550-Use Alternate Authentication Material, T1546.005-Trap"
898,217,217-Execution-T1204-User Execution,"After KerrDown is delivered via malicious Office documents or DLL side-loading methods, which ATT&CK technique most likely occurred before base64 blobs are decoded and executed depending on the victim's system architecture?",T1189-Drive-by Compromise,T1053.006-Systemd Timers,T1055-Process Injection,T1204-User Execution,"Execution: The malicious Office document contains an image file with a message in Vietnamese, asking the victim to enable macros to view the contents. The document has two different base64 blobs inserted in separate tables, with the font size changed to 1 to potentially evade detection. Depending on the victim's system architecture (32-bit or 64-bit), the appropriate base64 encoded blob is decoded and executed.","Initial Access: The OceanLotus group (APT32) has been using a new custom downloader malware named 'KerrDown' since early 2018. Two methods were identified for delivering KerrDown to targets: Microsoft Office Documents with malicious macros and RAR archives containing legitimate programs with DLL side-loading. The RAR file names used to trick targets are in Vietnamese, indicating that the primary targets are either in Vietnam or Vietnamese speaking individuals.
Defense Evasion: The actors reused a VBS decode function published by Motobit to decode base64 blobs. The KerrDown DLL is dropped in the directory 'Users\Administrator\AppData\Roaming\' as 'main_background.png'. The DLL retrieves the payload from a URL, decrypts it using the DES algorithm, and executes it in memory, ensuring that only the KerrDown DLL downloader is saved on the system and the payload is executed directly in memory without being written to the system.
Command and Control: The final payload of KerrDown, which was active during the time of analysis, turned out to be a variant of Cobalt Strike Beacon. This commercial penetration testing tool has been used by various threat actors in their campaigns. The KerrDown downloader attempts to download the payload from a URL depending on the OS architecture of the victim machine.
Others: Analysis of compile timestamps of KerrDown samples suggests that OceanLotus has been using the downloader since at least March 2018 and continues to actively use it. A pattern in the group's working hours was discerned, indicating a typical 9 AM to 6 PM working pattern in GMT+7, with most samples compiled during this period and on weekdays, suggesting formal working hours and operations likely out of Vietnam or nearby countries. The group's broader geographic and industry-wide target base may indicate the use of similar tools and playbooks against other targets. Palo Alto Networks customers are protected via Indicators of Compromise provided in the report.",T1204-User Execution,OceanLotus_KerrDown,"T1204-User Execution, T1053.006-Systemd Timers, T1189-Drive-by Compromise, T1055-Process Injection"
138,116,116-Command and Control-T1071-Application Layer Protocol,Which ATT&CK technique most likely occurred after APT-TOCS relied on lateral movement within the internal network to conduct attacks and before communicating with compromised systems using HTTP GET requests to specific URLs?,T1562.004-Disable or Modify System Firewall,T1190-Exploit Public-Facing Application,T1071-Application Layer Protocol,T1573-Encrypted Channel,Command and Control: APT-TOCS used encrypted data scripts downloaded by PowerShell for command and control. The attack communicated with compromised systems using HTTP GET requests to specific URLs and transmitted heartbeat packages using Cookie fields with 60 seconds intervals.,"Initial Access: The APT-TOCS attack utilized ""powershell.exe"" to execute Shellcode scripts for remote control of targeted systems. Attackers may have used security vulnerabilities to execute scripts directly on the host. A binary file named Sample A, identified as Trojan/Win32.MSShell with MD5 44BCF2DD262F12222ADEAB6F59B2975B, was used in similar attacks to lead the attack by executing embedded malware using WinExec to call ""powershell.exe"".
Execution: The APT-TOCS attack's core step involved downloading Shellcode script functionalities, which were then executed in memory without writing to the hard disk. The attack pattern included communication via Beacon mode, sending network heartbeat packages every 60 seconds, and transmitting data information via the Cookie field.
Defense Evasion: APT-TOCS exhibited features designed to evade detection by security software and firewall interception. The attack pattern included running in memory, no hard disk writing operations, and the use of multi-beacon communication, which could work simultaneously and evade sandbox detection.
Lateral Movement: APT-TOCS depended on network projection and could laterally move within the internal network as required to conduct an attack.
Others: APT-TOCS is closely related to the Cobalt Strike automatic attack testing platform. The attack can penetrate firewalls and is undetectable, capable of attacking various platforms, and formidable against Trusted Computing, Cloud Detection, and Sandbox Detection. The threat has been active for 5 years without powerful detection methods to defeat it. The attack is considered an APT due to its targeted nature, anti-detection functions, and ability to conceal itself. The use of a commercial attack platform reduces the cost and complexity of launching such attacks, making it difficult to trace the attackers.",T1071-Application Layer Protocol,ANALYSIS-ON-APT-TO-BE-ATTACK-THAT-FOCUSING-ON-CHINAS-GOVERNMENT-AGENCY-,"T1071-Application Layer Protocol, T1573-Encrypted Channel, T1190-Exploit Public-Facing Application, T1562.004-Disable or Modify System Firewall"
1145,244,244-Execution-T1129-Shared Modules,"Which ATT&CK technique most likely occurred after GroundPeony utilized spear-phishing emails with obfuscated URLs to deliver malicious payloads, and before they evaded defense mechanisms using DLL side-loading and custom XOR operations?",T1218.004-InstallUtil,T1053.002-At,T1102-Web Service,T1129-Shared Modules,"Execution: The GroundPeony campaign utilized a malicious executable named "".exe"" or ""Install.exe"" which was copied and renamed to ""mic.exe"" for DLL side-loading. The side-loaded DLL, ""version.dll"", functioned as a shellcode launcher for ""mic.doc"", which is a shellcode downloader known as micDown. The ""mic.ver"" file served as a config file for ""mic.doc"". The attack flow involved executing the renamed executable, loading and decrypting the associated files, and communicating with the C&C server.","Initial Access: The GroundPeony threat group, also known as UNC3347, has been actively targeting East and South Asian countries since at least 2021. They have been observed exploiting a zero-day vulnerability, Follina (CVE-2022-30190), and compromising target-related websites to distribute malware. The group's recent campaign involved spear-phishing emails with lure documents and URL obfuscation to download and execute malicious payloads from compromised websites, ultimately establishing communication with a C&C server.
Defense Evasion: The GroundPeony campaign exhibited defense evasion techniques through the use of DLL side-loading, specifically with the ""version.dll"" file. This file was used to decode and launch shellcode from ""mic.doc"". The decoding process was a two-step procedure involving custom XOR operations. Additionally, the ""mic.doc"" payload had its MZ header removed and was responsible for downloading encoded shellcode, which it would then decode using a similar custom XOR algorithm.
Command and Control: The GroundPeony campaign established command and control (C&C) communication through the use of a C&C server, identified by the domain ""app.onedrivo.com"" with the IP address 172.93.189.239. The ""mic.ver"" config file contained encoded information for connecting to the C&C server, including the IP address and port, which was decoded to facilitate communication.
Others: The GroundPeony threat group, also known as UNC3347, is a China-nexus threat group active since at least 2021, targeting government, research, educational institutes, and telecom sectors in Taiwan, Hong Kong, South Korea, Nepal, and India. The group has been linked to past campaigns exploiting the Follina vulnerability (CVE-2022-30190) and has used infrastructure associated with PublicDomainRegistry, AS63734 (365 Online technology joint stock company), AS55720 (Gigabit Hosting Sdn Bhd), and AS 30823 (combahton GmbH). Indicators of Compromise (IoCs) include various SHA256 hashes and IP addresses/domains such as 103.199.17.184, 160.20.145.111, and *.onedrivo.com.",T1129-Shared Modules,GroundPeony_Crawling_with_Malice,"T1129-Shared Modules, T1053.002-At, T1102-Web Service, T1218.004-InstallUtil"
68,107,107-Defense Evasion-T1027-Obfuscated Files or Information,"During the Adwind RAT attack in the petroleum industry, after executing the JAR payload and creating threads with various obfuscation layers, which ATT&CK technique most likely took place to avoid detection before the RAT achieved persistence through registry modifications?",T1027-Obfuscated Files or Information,T1027.009-Embedded Payloads,T1573-Encrypted Channel,T1484.001-Group Policy Modification,"Defense Evasion: The Adwind RAT employs multi-layer obfuscation techniques, including the use of multiple embedded JAR archives before unpacking the actual payload. It also uses WMI scripts to disable firewall and antivirus services. The RAT's obfuscation techniques have been successful in evading detection, as indicated by low VirusTotal detection ratios.","Initial Access: A new campaign spreading the Adwind RAT has been observed, specifically targeting the petroleum industry in the US. The campaign utilizes multi-layer obfuscation to evade detection, with multiple RAT samples hosted on the serving domain 'members[.]westnet[.]com[.]au/~joeven/'. The attacker has either used or compromised a Westnet user account to host the RAT. The payload is executed by the victim, involving multiple levels of JAR extractions.
Execution: The Adwind RAT executes a dropped JAR payload, which creates a parent Java process and copies itself into the %User% directory. It then performs three actions: executes the copy, creates a registry entry in HKCU/CurrentVersion/Run for persistence, and creates WMI scripts in %temp% to disable firewall and antivirus services. Subsequent JARs perform AES decryption routines and execute as new Java threads, leading to the loading of the JRAT class responsible for major RAT functionality.
Persistence: The Adwind RAT achieves persistence through registry modifications, specifically by creating a registry entry in HKCU/CurrentVersion/Run.
Collection: The RAT's core functionalities include capturing webcam images, scanning the hard-drive for files based on extensions defined in the RAT's config, spinning up multiple process threads, and performing injection into known legitimate Windows processes.
Command and Control: The JRAT class within the Adwind RAT tries connecting to its command and control server at the IP address 185[.]205[.]210[.]48. It encrypts and exfiltrates data to this server.
Exfiltration: The Adwind RAT encrypts and exfiltrates data to its command and control server.
Others: The URLs hosting the Adwind RAT were reported to Westnet on September 9th, 2019. The VirusTotal detection ratio for the top-level JAR was 5/56, while that of the final decrypted JAR was 49/58. The campaign has been active over the last couple of years, with the RAT supporting cross-platform functionality for Windows, Linux, and Mac.",T1027-Obfuscated Files or Information,New Adwind Campaign targets US Petroleum Industry,"T1027-Obfuscated Files or Information, T1027.009-Embedded Payloads, T1573-Encrypted Channel, T1484.001-Group Policy Modification"
1568,302,302-Execution-T1059-Command and Scripting Interpreter,"Which ATT&CK technique most likely occurred after Turla achieved persistence by modifying the PowerShell profile to load malware scripts into memory upon execution, and before employing AMSI bypass techniques to evade antivirus detection?",T1059-Command and Scripting Interpreter,T1569-System Services,T1653-Power Settings,T1562-Impair Defenses,"Execution: ESET researchers have analyzed new tactics, techniques, and procedures (TTPs) attributed to the Turla group, which involve leveraging PowerShell to run malware directly in memory, thus bypassing detection mechanisms that activate when a malicious executable is dropped on disk. The Turla group, also known as Snake, has been active since at least 2008 and is known for its sophisticated malware and espionage operations. The PowerShell scripts used by Turla persist on the system by regularly loading embedded executables into memory only, without writing them to disk.","Persistence: Turla operators have employed two methods for persistence: using a Windows Management Instrumentation (WMI) event subscription and altering the PowerShell profile (profile.ps1 file). In the case of WMI, attackers create event filters and consumers to execute base64-encoded PowerShell commands that load a large script stored in the Windows registry. The PowerShell profile is modified to run a script when PowerShell starts, which includes commands to load and execute the malware.
Defense Evasion: Turla's PowerShell scripts are designed to evade detection by encrypting payloads and obfuscating scripts. They also include an AMSI bypass technique that patches the AmsiScanBuffer function in memory to prevent antimalware products from receiving and scanning the buffer. This technique was not newly discovered but reused from a presentation at Black Hat Asia 2018.
Discovery: Turla's RPC backdoor and PowerStallion backdoor are used to perform lateral movement and take control of machines within a local network. They implement basic features such as file upload, download, and command execution. The RPC backdoor also supports the addition of plugins, which can gather file and directory information and monitor USB drives. PowerStallion monitors antimalware logs and the Windows process list.
Collection: Turla's RPC backdoor plugins are capable of collecting recent files from the local file system and files from USB drives. PowerStallion, a lightweight PowerShell backdoor, uses Microsoft OneDrive as a command and control server and can execute additional PowerShell scripts, writing command results to another OneDrive subfolder.
Command and Control: The RPC backdoor uses the RPC protocol for command and control, while PowerStallion uses Microsoft OneDrive, accessed via SMB, as its command and control server.
Exfiltration: PowerStallion exfiltrates information through the command and control channel by writing command results to a OneDrive subfolder and encrypting them with XOR key 0xAA.",T1059-Command and Scripting Interpreter,A dive into Turla PowerShell usage,"T1059-Command and Scripting Interpreter, T1569-System Services, T1562-Impair Defenses, T1653-Power Settings"
409,152,152-Execution-T1203-Exploitation for Client Execution,"After attackers gained initial access by delivering emails with Excel files to targeted individuals and before ensuring persistence via a scheduled task named 'OfficeServicesStatus,' which ATT&CK technique most likely occurred to execute malicious code from the Excel attachment?",T1119-Automated Collection,T1203-Exploitation for Client Execution,T1204.001-Malicious Link,T1566-Phishing,"Execution: The Excel file attached to the delivery email contained a malicious macro that, when enabled, would unhide and display a new worksheet with a fake invoice for Citrix products. While displaying the decoy invoice, the macro would silently run malicious code in the background to install its payload. The payload, a variant of the ISMDoor Trojan tracked as ISMAgent (SHA256: 52366b9ab2eb1d77ca6719a40f4779eb302dca97a832bd447abf10512dc51ed9), was written to the file %PUBLIC%\Libraries\servicereset.exe after concatenating base64 encoded strings. A VBScript named %PUBLIC%\Libraries\OfficeServicesStatus.vbs was created to execute the 'servicereset.exe' file using the command line. A scheduled task named 'OfficeServicesStatus' was set to run every three minutes for persistence.","Initial Access: On July 16, 2017, actors associated with the OilRig campaign sent emails to five different individuals within the targeted Middle Eastern technology organization. All emails had the same subject, attachment filename, and attached Excel file (SHA256: 3eb14b6705179590f0476d3d3cbd71665e7c1935ecac3df7b876edc9bd7641b6).
Persistence: A scheduled task named 'OfficeServicesStatus' was created to run every three minutes, ensuring the persistence of the ISMAgent payload on the compromised system.
Defense Evasion: The attack utilized a fake compatibility warning message and a decoy invoice document to trick the user and minimize suspicions of malicious activity. The malicious macro was designed to silently install the ISMAgent payload while displaying the decoy document.
Command and Control: The ISMAgent Trojan used HTTP requests and DNS tunneling to communicate with its C2 server. The Trojan parsed received data from the C2 server for a GUID field and commands to run on the compromised system. The C2 server issued commands such as system information gathering and network configuration discovery. The Trojan executed the commands using cmd.exe and sent the output back to the C2 server via HTTP POST requests. The C2 domain used for the attack was ntpupdateserver[.]com, with additional infrastructure including microsoft-publisher[.]com and adobeproduct[.]com.
Others: The OilRig campaign, potentially linked to the Greenbug threat group, has shown iterative behavior in their toolset, maintaining some similarities over time. The inclusion of ISMAgent within the OilRig toolset suggests stronger relationships between various groups operating in the Middle East. Palo Alto Networks customers are protected from these threats with classified samples by WildFire, IPS signatures, and AutoFocus tags. Indicators of Compromise (IoCs) include various SHA256 hashes of Clayslide documents delivering ISMAgent, ISMAgent payloads, and related infrastructure domains.",T1203-Exploitation for Client Execution,unit42-oilrig-uses-ismdoor-variant-possibly-linked-greenbug-threat-group,"T1203-Exploitation for Client Execution, T1204.001-Malicious Link, T1566-Phishing, T1119-Automated Collection"
236,128,128-Initial Access-T1566-Phishing,"After the attacker gained execution by leveraging the trojanized Celas Trade Pro application's updater module to collect and send victim host information, which ATT&CK technique most likely occurred before ensuring persistence through the installation of a hidden 'autoupdater' module?",T1036-Masquerading,T1059.001-PowerShell,T1566.001-Spearphishing Attachment,T1566-Phishing,"Initial Access: The Lazarus group targeted a cryptocurrency exchange by sending an email to an employee, who then downloaded a trojanized cryptocurrency trading application from a seemingly legitimate website. The application, Celas Trade Pro, was later found to contain the Fallchill malware.","Execution: The trojanized Celas Trade Pro application for Windows and macOS contained an updater module that executed upon installation and system reboot, collecting victim host information and sending it back to the attackers' server. The Windows version used a unique identifier and gathered OS version details from the registry, while the macOS version collected basic system information using QT framework classes.
Persistence: The malware installed a hidden 'autoupdater' module that persisted on the system and communicated with the command and control server to download and execute additional payloads.
Defense Evasion: The attackers used a legitimate-looking application and website to distribute the malware. The updater module contained a valid digital signature, making it appear trustworthy. The malware also used encryption and mimicked legitimate network traffic to avoid detection.
Command and Control: The malware communicated with a command and control server using HTTP and a hardcoded User-Agent string. The server responses dictated whether the updater should remain dormant or proceed with downloading and decrypting the payload.
Impact: The Lazarus group's operation, named AppleJeus, resulted in the successful compromise of a cryptocurrency exchange, demonstrating the group's continued focus on financial targets and the evolution of their strategies.
Others: The Lazarus group has expanded its operations to include macOS malware, indicating a focus on platforms used by software developers and high-profile targets. The group's use of a fake business and software update mechanism suggests a sophisticated approach to supply chain attacks. The digital certificates used by the malware did not guarantee the absence of backdoors, highlighting the need for businesses to verify the trustworthiness of third-party software.",T1566-Phishing,Operation_AppleJeus,"T1566-Phishing, T1566.001-Spearphishing Attachment, T1036-Masquerading, T1059.001-PowerShell"
2412,396,396-Initial Access-T1566-Phishing,"After the execution of a downloaded second-stage downloader via a malicious macro, which ATT&CK technique most likely occurred before Lokibot used a 'fileless' UAC bypass technique to escalate privileges?",T1659-Content Injection,T1586.001-Social Media Accounts,T1566-Phishing,T1055-Process Injection,"Initial Access: The Lokibot campaign begins with a phishing email containing a malicious XLS attachment. The email uses social engineering, presenting a message in Spanish about scheduled payment dates. The Excel sheet displays a blurred image, prompting users to enable macros, which triggers the execution of a malicious macro.","Execution: The malicious macro, once enabled, downloads a second-stage downloader. This downloader is heavily packed and fetches an encrypted third-stage, which includes the Lokibot malware. The infection chain involves multiple stages and layers of encryption to execute Lokibot on the victim's machine.
Privilege Escalation: The third-stage deployment of Lokibot involves privilege escalation. The malware checks if a specific file exists and, if not, injects a malicious DLL into Notepad.exe. It uses a 'fileless' UAC bypass technique and, if necessary, another UAC bypass based on fodhelper.exe to create a directory and execute Lokibot with elevated privileges.
Defense Evasion: The Lokibot campaign employs defense evasion techniques such as process hollowing and code injection into a suspended process to bypass User Account Control (UAC).
Others: The Lokibot campaign utilizes a complex, multi-stage, multi-layered dropper to execute the malware. The adversaries behind Lokibot are capable of stealing multiple types of credentials and sensitive information. The campaign uses social engineering techniques to trick users into enabling macros, which leads to the execution of the malware. The infection chain is sophisticated, with three stages and three layers of encryption to hide the final payload. The dropper injects code into a suspended process to bypass UAC and uses process hollowing to execute its final payload. The blog post emphasizes the importance of a multi-layered security architecture to detect such attacks.",T1566-Phishing,blog.talosintelligence.com-A Deep Dive into Lokibot Infection Chain,"T1566-Phishing, T1659-Content Injection, T1055-Process Injection, T1586.001-Social Media Accounts"
